Timestamp,Open,High,Low,Close,Volume
1779080400,1.0488,1.0499,1.0382,1.0388,263865.16566724
1779084000,1.0389,1.0409,1.0261,1.0344,91940.00358171
1779087600,1.0348,1.0374,1.0277,1.0357,116214.08319286
1779091200,1.0356,1.0417,1.0313,1.0352,17783.00895814
1779094800,1.0354,1.0381,1.0263,1.0352,9221.09356838
1779098400,1.0355,1.0355,1.0284,1.0310,30578.66949436
1779102000,1.0319,1.0518,1.0295,1.0444,45873.37069673
1779105600,1.0447,1.0608,1.0442,1.0555,38782.98869586
1779109200,1.0558,1.0558,1.0372,1.0441,91941.95434592
1779112800,1.0438,1.0442,1.0279,1.0317,28606.01684615
1779116400,1.0312,1.0353,1.0238,1.0321,105979.05007489
1779120000,1.0318,1.0419,1.0299,1.0398,8952.00023947
1779123600,1.0397,1.0459,1.0384,1.0425,33375.40020958
1779127200,1.0425,1.0432,1.0268,1.0279,67525.88436311
1779130800,1.0280,1.0530,1.0280,1.0516,99081.64441627
1779134400,1.0523,1.0580,1.0480,1.0499,43417.86865137
1779138000,1.0500,1.0636,1.0469,1.0584,18071.29107244
1779141600,1.0589,1.0629,1.0563,1.0606,35602.39364775
1779145200,1.0605,1.0652,1.0589,1.0640,37072.93100324
1779148800,1.0641,1.0744,1.0614,1.0681,2710.19011695
1779152400,1.0681,1.0681,1.0536,1.0561,20000.03506618
1779156000,1.0553,1.0629,1.0512,1.0543,54536.51113630
1779159600,1.0542,1.0635,1.0508,1.0593,26272.40112141
1779163200,1.0592,1.0697,1.0581,1.0693,54682.82111282
1779166800,1.0696,1.0704,1.0563,1.0654,31985.03975540
1779170400,1.0653,1.0873,1.0646,1.0807,22156.07576703
1779174000,1.0796,1.1001,1.0719,1.0871,30848.43352154
1779177600,1.0871,1.0871,1.0701,1.0716,3361.31710161
1779181200,1.0718,1.0739,1.0629,1.0689,99638.93754617
1779184800,1.0681,1.0731,1.0618,1.0652,196036.61570085
1779188400,1.0657,1.0665,1.0551,1.0580,29762.03045766
1779192000,1.0582,1.0656,1.0563,1.0644,23805.17997072
1779195600,1.0650,1.0822,1.0604,1.0755,151892.87071468
1779199200,1.0751,1.0778,1.0488,1.0578,45927.37608443
1779202800,1.0573,1.0661,1.0541,1.0606,10014.86968827
1779206400,1.0612,1.0663,1.0572,1.0657,48124.80160695
1779210000,1.0655,1.0692,1.0565,1.0602,11048.00291875
1779213600,1.0596,1.0633,1.0552,1.0571,22860.35348291
1779217200,1.0577,1.0626,1.0546,1.0581,5985.48645307
1779220800,1.0580,1.0646,1.0580,1.0645,19972.73336613
1779224400,1.0647,1.0665,1.0624,1.0624,1937.42511172
1779228000,1.0621,1.0622,1.0505,1.0508,4145.13585588
1779231600,1.0501,1.0566,1.0490,1.0523,6093.13569848
1779235200,1.0518,1.0536,1.0292,1.0344,38803.04981539
1779238800,1.0347,1.0421,1.0302,1.0406,20538.55061214
1779242400,1.0406,1.0440,1.0348,1.0364,15272.81164515
1779246000,1.0363,1.0431,1.0342,1.0380,32375.79336464
1779249600,1.0379,1.0400,1.0334,1.0392,16302.53801087
1779253200,1.0394,1.0543,1.0392,1.0506,53341.37105770
1779256800,1.0512,1.0567,1.0487,1.0556,30727.07419635
1779260400,1.0555,1.0620,1.0518,1.0544,3696.27953259
1779264000,1.0544,1.0646,1.0524,1.0585,29149.53008453
1779267600,1.0585,1.0620,1.0559,1.0574,8707.84485703
1779271200,1.0574,1.0628,1.0562,1.0602,12023.75547521
1779274800,1.0605,1.0622,1.0485,1.0523,38437.00404444
1779278400,1.0522,1.0631,1.0494,1.0600,21167.02764576
1779282000,1.0603,1.0609,1.0385,1.0466,25636.18991049
1779285600,1.0473,1.0744,1.0454,1.0718,141520.28316230
1779289200,1.0715,1.0798,1.0646,1.0739,48840.66537368
1779292800,1.0741,1.0799,1.0642,1.0743,68731.43083867
1779296400,1.0737,1.0827,1.0712,1.0757,21133.05128212
1779300000,1.0747,1.0761,1.0667,1.0677,40560.42584051
1779303600,1.0673,1.0755,1.0657,1.0746,7044.80738012
1779307200,1.0740,1.0759,1.0656,1.0754,21499.86433595
1779310800,1.0753,1.0772,1.0707,1.0709,3781.47798673
1779314400,1.0705,1.0747,1.0640,1.0739,30638.97127268
1779318000,1.0726,1.0803,1.0691,1.0802,12937.76536305
1779321600,1.0799,1.1248,1.0785,1.1222,96315.28653695
1779325200,1.1228,1.1229,1.0981,1.1133,50242.20723477
1779328800,1.1139,1.1446,1.1122,1.1148,159890.13778535
1779332400,1.1156,1.1437,1.1087,1.1415,95134.46806623
1779336000,1.1423,1.1500,1.1213,1.1234,39735.64544638
1779339600,1.1234,1.1372,1.1098,1.1166,20929.67315047
1779343200,1.1167,1.1174,1.1011,1.1043,71250.07612678
1779346800,1.1045,1.1159,1.0990,1.1131,31505.98924172
1779350400,1.1130,1.1331,1.1126,1.1196,77350.05112316
1779354000,1.1198,1.1250,1.1049,1.1051,24918.98169945
1779357600,1.1053,1.1088,1.0904,1.0918,157941.02104837
1779361200,1.0923,1.0964,1.0863,1.0863,247215.56676586
1779364800,1.0872,1.0936,1.0822,1.0903,91634.18784527
1779368400,1.0926,1.1023,1.0785,1.0981,38933.22175502
1779372000,1.0987,1.1083,1.0876,1.1025,54914.23556506
1779375600,1.1032,1.1284,1.1016,1.1091,67502.75844901
1779379200,1.1102,1.1179,1.1044,1.1124,119212.21981437
1779382800,1.1120,1.1548,1.1116,1.1452,435110.31151600
1779386400,1.1449,1.1642,1.1370,1.1539,217592.38472692
1779390000,1.1541,1.1570,1.1399,1.1477,172040.37566360
1779393600,1.1485,1.1506,1.1336,1.1348,54379.01938100
1779397200,1.1356,1.1374,1.1239,1.1239,84762.78547422
1779400800,1.1237,1.1289,1.1172,1.1206,139203.57686289
1779404400,1.1205,1.1260,1.1101,1.1233,91572.66213135
1779408000,1.1240,1.1249,1.0969,1.0969,98822.20057420
1779411600,1.0965,1.1036,1.0887,1.0985,95884.74075198
1779415200,1.0981,1.1112,1.0981,1.1105,59251.21272053
1779418800,1.1110,1.1182,1.1083,1.1087,64973.00085787
1779422400,1.1091,1.1193,1.1072,1.1109,27596.53260743
1779426000,1.1106,1.1245,1.1078,1.1156,45062.68938076
1779429600,1.1157,1.1157,1.0990,1.1012,117006.60441643
1779433200,1.1007,1.1111,1.0949,1.1026,48035.64267216
1779436800,1.1027,1.1095,1.0988,1.1059,48151.87423603
1779440400,1.1059,1.1134,1.1010,1.1020,84222.28129096
1779444000,1.1014,1.1100,1.0970,1.1089,35836.23964740
1779447600,1.1093,1.1253,1.1007,1.1101,121706.66395662
1779451200,1.1093,1.1289,1.1068,1.1289,78759.26958511
1779454800,1.1300,1.1329,1.1109,1.1229,128278.31991365
1779458400,1.1223,1.1225,1.0935,1.0935,122195.58784687
1779462000,1.0925,1.1041,1.0868,1.0981,129928.15564410
1779465600,1.0983,1.1024,1.0907,1.0957,43020.68787448
1779469200,1.0959,1.1005,1.0877,1.0879,70830.37436850
1779472800,1.0877,1.0915,1.0562,1.0774,181267.58098369
1779476400,1.0764,1.0787,1.0530,1.0557,136109.58434726
1779480000,1.0565,1.0653,1.0560,1.0648,240127.77765739
1779483600,1.0640,1.0668,1.0606,1.0630,60921.83025459
1779487200,1.0631,1.0638,1.0536,1.0584,89352.63508393
1779490800,1.0583,1.0645,1.0434,1.0481,89882.48056002
1779494400,1.0481,1.0504,1.0359,1.0451,93591.03794492
1779498000,1.0448,1.0497,1.0390,1.0443,14546.73579053
1779501600,1.0450,1.0458,1.0388,1.0425,13609.16320884
1779505200,1.0419,1.0463,1.0410,1.0436,57047.97397765
1779508800,1.0437,1.0438,1.0356,1.0359,39047.11301029
1779512400,1.0361,1.0372,1.0303,1.0320,74603.80918250
1779516000,1.0320,1.0336,1.0271,1.0290,11394.08452566
1779519600,1.0292,1.0302,0.9853,0.9961,501835.69541467
1779523200,0.9960,1.0056,0.9932,1.0005,76767.61781354
1779526800,1.0005,1.0038,0.9984,0.9999,65878.30681789
1779530400,0.9999,1.0073,0.9995,1.0056,22189.16175983
