Timestamp,Open,High,Low,Close,Volume
1779080400,1.2400,1.2407,1.2314,1.2314,13498.63393397
1779084000,1.2315,1.2339,1.2211,1.2248,17870.80397057
1779087600,1.2259,1.2285,1.2164,1.2243,11108.56934643
1779091200,1.2244,1.2325,1.2244,1.2317,6242.43859058
1779094800,1.2315,1.2318,1.2237,1.2276,5832.45468750
1779098400,1.2285,1.2286,1.2228,1.2267,16145.38967434
1779102000,1.2268,1.2466,1.2246,1.2375,18817.37617604
1779105600,1.2375,1.2496,1.2375,1.2468,22186.69604733
1779109200,1.2468,1.2468,1.2316,1.2411,25465.18976913
1779112800,1.2409,1.2414,1.2226,1.2276,32375.90513649
1779116400,1.2278,1.2288,1.2185,1.2254,23642.56088417
1779120000,1.2265,1.2309,1.2226,1.2263,18343.63399362
1779123600,1.2263,1.2356,1.2254,1.2325,6573.00074055
1779127200,1.2325,1.2325,1.2158,1.2168,11196.21991283
1779130800,1.2169,1.2412,1.2169,1.2386,19379.46675149
1779134400,1.2395,1.2423,1.2313,1.2354,6597.48834623
1779138000,1.2355,1.2486,1.2336,1.2477,33030.22584348
1779141600,1.2485,1.2518,1.2455,1.2503,5932.23402177
1779145200,1.2496,1.2544,1.2486,1.2515,13892.51477045
1779148800,1.2519,1.2584,1.2505,1.2525,7604.56188222
1779152400,1.2524,1.2525,1.2423,1.2437,7015.12371515
1779156000,1.2435,1.2504,1.2416,1.2435,3975.42310131
1779159600,1.2434,1.2498,1.2415,1.2483,4683.84341335
1779163200,1.2483,1.2533,1.2467,1.2496,2254.45704498
1779166800,1.2496,1.2497,1.2425,1.2455,3612.90272978
1779170400,1.2455,1.2524,1.2454,1.2512,2446.82888626
1779174000,1.2504,1.2545,1.2488,1.2527,2357.31962360
1779177600,1.2527,1.2527,1.2435,1.2480,6792.61213674
1779181200,1.2479,1.2494,1.2361,1.2396,5251.03673092
1779184800,1.2392,1.2397,1.2291,1.2349,6325.33547590
1779188400,1.2344,1.2361,1.2270,1.2285,3371.72341130
1779192000,1.2285,1.2330,1.2269,1.2324,1592.22562052
1779195600,1.2324,1.2411,1.2304,1.2354,7281.30487255
1779199200,1.2351,1.2383,1.2187,1.2255,11292.70154459
1779202800,1.2255,1.2296,1.2217,1.2265,25456.84255588
1779206400,1.2273,1.2370,1.2248,1.2364,9361.32633701
1779210000,1.2365,1.2367,1.2286,1.2318,2912.62303974
1779213600,1.2320,1.2335,1.2238,1.2254,9246.00085325
1779217200,1.2254,1.2304,1.2245,1.2259,5269.20180010
1779220800,1.2259,1.2332,1.2259,1.2324,4248.94194481
1779224400,1.2328,1.2365,1.2304,1.2314,2930.46534988
1779228000,1.2314,1.2314,1.2239,1.2239,3412.48839920
1779231600,1.2238,1.2292,1.2225,1.2255,6289.61600128
1779235200,1.2255,1.2275,1.2212,1.2255,4583.33071980
1779238800,1.2255,1.2304,1.2202,1.2290,6387.94079480
1779242400,1.2290,1.2312,1.2234,1.2235,3319.41135903
1779246000,1.2235,1.2311,1.2220,1.2282,3320.39079558
1779249600,1.2282,1.2326,1.2267,1.2326,711.68670002
1779253200,1.2326,1.2446,1.2326,1.2418,7631.87429563
1779256800,1.2424,1.2446,1.2389,1.2434,2259.78380388
1779260400,1.2434,1.2454,1.2396,1.2396,5297.53098828
1779264000,1.2396,1.2467,1.2395,1.2428,2726.86387020
1779267600,1.2428,1.2430,1.2378,1.2395,2417.16125458
1779271200,1.2395,1.2434,1.2385,1.2394,1862.56676694
1779274800,1.2399,1.2414,1.2306,1.2315,4165.32123381
1779278400,1.2315,1.2391,1.2295,1.2369,3943.69506062
1779282000,1.2369,1.2372,1.2258,1.2325,9238.67589484
1779285600,1.2326,1.2484,1.2301,1.2464,8396.36979947
1779289200,1.2454,1.2539,1.2412,1.2504,15263.54954360
1779292800,1.2505,1.2534,1.2419,1.2486,9530.98986781
1779296400,1.2486,1.2547,1.2474,1.2519,8628.24576014
1779300000,1.2509,1.2525,1.2464,1.2479,2163.65450195
1779303600,1.2478,1.2570,1.2457,1.2562,12731.18512857
1779307200,1.2562,1.2562,1.2487,1.2548,23560.14456642
1779310800,1.2543,1.2568,1.2507,1.2507,7734.99549093
1779314400,1.2506,1.2506,1.2425,1.2494,4524.11674354
1779318000,1.2484,1.2495,1.2429,1.2485,2879.73652770
1779321600,1.2485,1.2608,1.2475,1.2603,12008.53644572
1779325200,1.2603,1.2648,1.2583,1.2614,6386.82515202
1779328800,1.2614,1.2691,1.2596,1.2652,2243.99936108
1779332400,1.2649,1.2742,1.2649,1.2740,5205.73056499
1779336000,1.2740,1.2864,1.2740,1.2858,15624.31525682
1779339600,1.2855,1.2900,1.2677,1.2714,43263.07361825
1779343200,1.2714,1.2766,1.2666,1.2684,5564.62138174
1779346800,1.2683,1.2783,1.2667,1.2763,6145.61332013
1779350400,1.2763,1.2821,1.2744,1.2745,5079.02085865
1779354000,1.2745,1.2777,1.2667,1.2674,3975.49975990
1779357600,1.2674,1.2692,1.2495,1.2517,10239.28340139
1779361200,1.2517,1.2534,1.2477,1.2477,4195.69834012
