Timestamp,Open,High,Low,Close,Volume
1779080400,9.5667,9.5728,9.5057,9.5100,157.96399997
1779084000,9.5105,9.5326,9.4393,9.4727,731.97074463
1779087600,9.4821,9.4952,9.4266,9.4726,160.26799998
1779091200,9.4770,9.4920,9.4432,9.4742,158.96731707
1779094800,9.4726,9.4780,9.4403,9.4434,484.01663875
1779098400,9.4432,9.4531,9.4083,9.4113,621.81785255
1779102000,9.4133,9.5606,9.4067,9.5097,709.89704985
1779105600,9.5111,9.5986,9.5111,9.5744,186.98219735
1779109200,9.5736,9.5736,9.4504,9.4840,481.10784083
1779112800,9.4811,9.4811,9.3812,9.4048,1532.52848211
1779116400,9.4020,9.4402,9.3454,9.4191,861.47124436
1779120000,9.4204,9.4552,9.3918,9.4148,83.31867920
1779123600,9.4143,9.4559,9.4019,9.4463,366.36643775
1779127200,9.4462,9.4463,9.3150,9.3289,1512.23121079
1779130800,9.3282,9.5299,9.3282,9.5093,2038.71963392
1779134400,9.5155,9.5425,9.4747,9.4845,401.85301677
1779138000,9.4871,9.5820,9.4755,9.5714,157.59976997
1779141600,9.5806,9.6134,9.5545,9.5982,549.63281595
1779145200,9.5920,9.6203,9.5827,9.6096,1132.42874077
1779148800,9.6157,9.6775,9.6004,9.6530,17503.20614464
1779152400,9.6529,9.6544,9.6019,9.6135,110.11093489
1779156000,9.6126,9.6827,9.5855,9.6444,993.84682718
1779159600,9.6441,9.7269,9.6309,9.6983,132.01199999
1779163200,9.6983,9.7361,9.6628,9.7315,151.94386527
1779166800,9.7306,9.7650,9.6624,9.7461,10847.68736781
1779170400,9.7474,9.7846,9.7402,9.7746,119.83670570
1779174000,9.7747,9.8185,9.7443,9.7929,1699.80921709
1779177600,9.7924,9.7961,9.7123,9.7408,1047.78764614
1779181200,9.7390,9.7484,9.5903,9.6063,161.86092046
1779184800,9.6052,9.6224,9.5564,9.6043,783.03920510
1779188400,9.6055,9.6147,9.5369,9.5482,7269.35754003
1779192000,9.5494,9.5735,9.5334,9.5692,135.21981138
1779195600,9.5698,9.6201,9.5261,9.5788,250.60214896
1779199200,9.5694,9.5973,9.4451,9.4898,1295.58140922
1779202800,9.4838,9.5245,9.4645,9.4854,219.75176685
1779206400,9.4922,9.5555,9.4744,9.5540,387.13836093
1779210000,9.5550,9.5599,9.4924,9.5099,573.73743874
1779213600,9.5099,9.5237,9.4686,9.4835,1569.86736736
1779217200,9.4819,9.5287,9.4560,9.4658,307.53516263
1779220800,9.4686,9.4892,9.4633,9.4882,791.52358668
1779224400,9.4884,9.4976,9.4653,9.4664,3463.81959338
1779228000,9.4664,9.4714,9.4428,9.4429,10035.60226429
1779231600,9.4428,9.4828,9.4344,9.4413,1812.95671114
1779235200,9.4405,9.4727,9.3787,9.4675,1950.59893800
1779238800,9.4696,9.5082,9.4095,9.4595,111.19309629
1779242400,9.4590,9.4848,9.4437,9.4579,82.55600000
1779246000,9.4578,9.4990,9.4390,9.4857,82.51800000
1779249600,9.4901,9.5037,9.4610,9.5026,4181.81089699
1779253200,9.5034,9.6019,9.5034,9.5794,482.13891635
1779256800,9.5791,9.6319,9.5765,9.6281,1293.35735888
1779260400,9.6279,9.6298,9.5768,9.5817,186.77046077
1779264000,9.5807,9.6379,9.5783,9.6152,161.92884716
1779267600,9.6153,9.6241,9.5813,9.5872,1369.70971952
1779271200,9.5858,9.6299,9.5848,9.5970,330.62793675
1779274800,9.6008,9.6050,9.5333,9.5447,1977.84114518
1779278400,9.5448,9.6186,9.5356,9.6043,290.84808367
1779282000,9.6038,9.6052,9.4855,9.5324,486.62120523
1779285600,9.5352,9.6459,9.4994,9.6316,1085.00817300
1779289200,9.6276,9.6485,9.5728,9.6313,2693.96506168
1779292800,9.6346,9.6559,9.5649,9.6215,2575.75600641
1779296400,9.6196,9.6914,9.6064,9.6488,58021.04887698
1779300000,9.6484,9.6484,9.5921,9.6109,2019.00729282
1779303600,9.6094,9.6667,9.5918,9.6568,663.32403501
1779307200,9.6542,9.6674,9.5931,9.6434,223.19838321
1779310800,9.6411,9.6600,9.6220,9.6225,4107.79891497
1779314400,9.6159,9.6316,9.5721,9.6300,3056.07824687
1779318000,9.6206,9.6428,9.5963,9.6397,8401.11266018
1779321600,9.6377,9.7130,9.6324,9.7038,8190.24824292
1779325200,9.7045,9.7408,9.6920,9.7161,2793.87099092
1779328800,9.7167,9.7500,9.7060,9.7236,317.03144488
1779332400,9.7182,9.7657,9.7143,9.7597,7247.29805898
1779336000,9.7596,9.7747,9.7262,9.7476,793.54227083
1779339600,9.7446,9.7591,9.6694,9.6848,920.00309059
1779343200,9.6848,9.6990,9.6282,9.6426,1856.16795664
1779346800,9.6406,9.7047,9.6263,9.6962,1123.96773253
1779350400,9.6968,9.7619,9.6779,9.6831,956.19580792
1779354000,9.6794,9.7006,9.6037,9.6178,833.85346622
1779357600,9.6170,9.6365,9.5247,9.5550,1466.01946790
1779361200,9.5564,9.5849,9.5418,9.5508,3162.43673826
1779364800,9.5556,9.5941,9.5278,9.5813,738.88604879
1779368400,9.5886,9.6327,9.5262,9.6113,3193.30424943
1779372000,9.6119,9.6383,9.5681,9.5940,804.06007569
1779375600,9.5971,9.6858,9.5801,9.6451,189.15371775
1779379200,9.6517,9.6716,9.6126,9.6444,2545.21596549
1779382800,9.6496,9.8516,9.6472,9.8107,7661.40117702
1779386400,9.8112,9.8252,9.6974,9.7367,1238.83175386
1779390000,9.7416,9.8074,9.7391,9.8039,1668.25640367
1779393600,9.8012,9.8119,9.7654,9.7695,259.94935243
1779397200,9.7701,9.8031,9.7653,9.7731,170.89548566
1779400800,9.7748,9.7876,9.7363,9.7375,2417.55386477
1779404400,9.7345,9.7710,9.7053,9.7575,421.24042445
1779408000,9.7603,9.7631,9.7182,9.7233,180.01335068
1779411600,9.7189,9.7829,9.7150,9.7829,116.82876469
1779415200,9.7859,9.8122,9.7807,9.8008,3507.39660394
1779418800,9.8028,9.8350,9.7934,9.8272,526.12466591
1779422400,9.8305,9.8633,9.7894,9.8132,169.92430066
1779426000,9.8151,9.8618,9.8041,9.8188,352.29869602
1779429600,9.8192,9.8399,9.7750,9.7794,387.56969085
1779433200,9.7777,9.8528,9.7539,9.8209,173.59877187
1779436800,9.8214,9.8428,9.7713,9.7961,1273.46565147
1779440400,9.7955,9.8528,9.7876,9.8373,672.79251987
1779444000,9.8346,9.8469,9.8017,9.8205,737.30510380
1779447600,9.8247,9.8953,9.8050,9.8953,4999.43457928
1779451200,9.8930,9.9915,9.8838,9.9915,3134.42394760
1779454800,10.0008,10.0327,9.9252,9.9666,12723.24392130
1779458400,9.9477,9.9523,9.7764,9.7858,1145.94179632
1779462000,9.7808,9.8387,9.7500,9.8161,279.67805504
1779465600,9.8124,9.8372,9.7609,9.8115,1027.77137096
1779469200,9.8144,9.8571,9.7740,9.7802,1545.55681969
1779472800,9.7786,9.7816,9.5404,9.6156,12148.25744021
1779476400,9.6143,9.6233,9.3759,9.4659,16011.29188621
1779480000,9.4656,9.5451,9.4656,9.5365,3842.66848707
1779483600,9.5358,9.5705,9.5279,9.5449,1349.83707683
1779487200,9.5449,9.5461,9.4876,9.5150,174.39483388
1779490800,9.5148,9.5441,9.3659,9.4158,9819.36640880
1779494400,9.4207,9.4374,9.3500,9.4030,563.00276942
1779498000,9.4040,9.4266,9.3779,9.4151,1539.39420158
1779501600,9.4167,9.4240,9.3840,9.4059,935.35650123
1779505200,9.4036,9.4205,9.4021,9.4086,6520.54513280
1779508800,9.4105,9.4131,9.3800,9.3800,5663.18456362
1779512400,9.3801,9.3801,9.3314,9.3509,11806.35165575
1779516000,9.3504,9.3524,9.3215,9.3325,98.79683340
1779519600,9.3325,9.3386,9.0720,9.1309,7536.35113036
1779523200,9.1309,9.1695,9.1017,9.1695,3197.48958271
1779526800,9.1695,9.1929,9.1686,9.1823,479.66817964
1779530400,9.1837,9.2222,9.1835,9.1986,703.65054435
1779534000,9.1985,9.2176,9.1873,9.1875,194.90913676
1779537600,9.1875,9.1938,9.1429,9.1892,7338.22853966
1779541200,9.1893,9.2721,9.1893,9.2662,6416.78435236
1779544800,9.2674,9.3238,9.2455,9.3169,5591.75965062
1779548400,9.3168,9.3658,9.2912,9.3182,780.26896233
1779552000,9.3193,9.3385,9.2868,9.3154,333.96440480
1779555600,9.3173,9.3285,9.2918,9.3100,424.03100874
1779559200,9.3125,9.4215,9.3065,9.3829,1881.48326743
1779562800,9.3824,9.4108,9.3595,9.4070,4053.05081441
1779566400,9.4075,9.7529,9.3940,9.7529,13412.38366293
1779570000,9.7657,9.7766,9.5903,9.6154,5116.07016888
1779573600,9.6188,9.6613,9.5131,9.5651,4032.17992958
1779577200,9.5551,9.5848,9.5508,9.5620,423.38521446
1779580800,9.5656,9.6015,9.5463,9.5796,219.04191925
1779584400,9.5805,9.6219,9.5769,9.5951,130.88188077
1779588000,9.5947,9.5952,9.5459,9.5624,1169.44143559
1779591600,9.5608,9.5874,9.5258,9.5424,405.18022686
1779595200,9.5484,9.5616,9.5266,9.5266,115.64445768
1779598800,9.5267,9.5729,9.4931,9.5721,372.78022076
1779602400,9.5709,9.6046,9.5135,9.6012,2086.43241685
1779606000,9.6041,9.6272,9.5458,9.5544,3711.48889763
1779609600,9.5577,9.5859,9.5386,9.5859,477.87260993
1779613200,9.5882,9.6228,9.5763,9.6122,447.24999354
1779616800,9.6099,9.6416,9.5755,9.5936,1236.27251723
1779620400,9.5920,9.6200,9.5758,9.5894,87.79643980
1779624000,9.5924,9.5945,9.5265,9.5428,3787.29177486
1779627600,9.5428,9.5562,9.4672,9.4913,114.73430649
1779631200,9.4907,9.4981,9.3532,9.4410,4185.53343175
1779634800,9.4410,9.4508,9.4220,9.4334,1335.46305765
1779638400,9.4337,9.4784,9.4265,9.4594,2763.34966152
1779642000,9.4590,9.4836,9.4539,9.4641,251.49209995
1779645600,9.4647,9.4663,9.4267,9.4357,3963.57525474
1779649200,9.4364,9.4530,9.4105,9.4298,91.99400000
1779652800,9.4363,9.4373,9.3884,9.4017,5410.20971180
1779656400,9.3996,9.4134,9.2535,9.2856,3469.29607743
1779660000,9.2905,9.4299,9.2895,9.3830,500.56465605
1779663600,9.3891,9.4578,9.3891,9.4305,1845.14681483
1779667200,9.4383,9.4897,9.4376,9.4732,241.74329075
1779670800,9.4784,9.4808,9.3844,9.3872,999.61581755
1779674400,9.3956,9.4760,9.3955,9.4066,160.72645707
1779678000,9.4069,9.4162,9.3698,9.3924,1527.25329456
1779681600,9.3921,9.4899,9.3879,9.4757,116.72911848
1779685200,9.4771,9.5235,9.4754,9.5108,177.66533327
1779688800,9.5110,9.5358,9.4809,9.5084,102.36118459
1779692400,9.5109,9.5416,9.4828,9.5196,149.85089528
