Timestamp,Open,High,Low,Close,Volume
1779080400,9.2194,9.2283,9.1529,9.1575,408.84375277
1779084000,9.1592,9.1763,9.0778,9.1343,1716.56205592
1779087600,9.1399,9.1529,9.0898,9.1151,1246.00507451
1779091200,9.1241,9.1477,9.1062,9.1417,82.14000000
1779094800,9.1417,9.1438,9.0810,9.0894,266.80345225
1779098400,9.0867,9.0880,9.0481,9.0681,216.40727656
1779102000,9.0713,9.2075,9.0562,9.1543,4750.38812149
1779105600,9.1556,9.2255,9.1556,9.1994,486.18037402
1779109200,9.1994,9.2013,9.0833,9.1412,668.99307314
1779112800,9.1374,9.1407,9.0382,9.0720,1063.14957834
1779116400,9.0712,9.0999,9.0142,9.0872,3322.08620097
1779120000,9.0881,9.1124,9.0536,9.0966,130.00033398
1779123600,9.0956,9.1413,9.0894,9.1243,758.98785650
1779127200,9.1238,9.1263,9.0237,9.0246,688.10319486
1779130800,9.0242,9.1948,9.0242,9.1753,823.37169603
1779134400,9.1814,9.2129,9.1525,9.1781,166.88199998
1779138000,9.1800,9.2515,9.1663,9.2456,90.41519490
1779141600,9.2563,9.2697,9.2164,9.2430,500.66561787
1779145200,9.2432,9.2677,9.2280,9.2451,82.22200000
1779148800,9.2466,9.3112,9.2466,9.2798,2532.33808130
1779152400,9.2798,9.2818,9.2280,9.2388,185.24877447
1779156000,9.2373,9.2737,9.2031,9.2104,579.98643147
1779159600,9.2059,9.2601,9.1988,9.2405,91.26368250
1779163200,9.2377,9.2748,9.2197,9.2523,83.80804990
1779166800,9.2527,9.2660,9.1989,9.2467,269.48746684
1779170400,9.2442,9.2744,9.2386,9.2584,92.64114554
1779174000,9.2573,9.2887,9.2453,9.2749,1486.20894742
1779177600,9.2742,9.2851,9.2213,9.2369,447.45659904
1779181200,9.2395,9.2470,9.1700,9.2012,1041.67477647
1779184800,9.2012,9.2041,9.1396,9.1573,138.61561437
1779188400,9.1543,9.1589,9.0875,9.1056,2128.16649414
1779192000,9.1042,9.1510,9.0949,9.1447,82.43800000
1779195600,9.1507,9.1587,9.1015,9.1216,854.16036990
1779199200,9.1166,9.1345,9.0289,9.0677,2821.87051031
1779202800,9.0677,9.1168,9.0564,9.0980,584.68461829
1779206400,9.1013,9.1693,9.0845,9.1693,4775.52297827
1779210000,9.1693,9.1874,9.1364,9.1597,159.92999999
1779213600,9.1567,9.1654,9.1161,9.1390,897.37287193
1779217200,9.1386,9.1776,9.1071,9.1198,643.71587286
1779220800,9.1208,9.1444,9.1160,9.1393,288.37007486
1779224400,9.1401,9.1504,9.1203,9.1237,1957.72296434
1779228000,9.1264,9.1264,9.0655,9.0883,249.99336185
1779231600,9.0847,9.1366,9.0844,9.1057,82.40600000
1779235200,9.1057,9.1186,9.0733,9.1056,82.09200000
1779238800,9.1056,9.1209,9.0660,9.1112,398.53346107
1779242400,9.1130,9.1272,9.0808,9.0919,954.76787003
1779246000,9.0929,9.1366,9.0811,9.1109,713.05028154
1779249600,9.1113,9.1277,9.0921,9.1242,403.75916548
1779253200,9.1244,9.2057,9.1244,9.1907,389.22119488
1779256800,9.1925,9.2395,9.1925,9.2309,1013.52272790
1779260400,9.2309,9.2349,9.1953,9.2053,82.32000000
1779264000,9.2048,9.2650,9.2044,9.2349,344.17599996
1779267600,9.2345,9.2389,9.1989,9.2025,82.41600000
1779271200,9.2022,9.2458,9.2022,9.2211,2333.05113529
1779274800,9.2223,9.2358,9.1870,9.2044,321.26263336
1779278400,9.2028,9.2692,9.1965,9.2539,1107.57543697
1779282000,9.2529,9.2571,9.1620,9.1930,82.21200000
1779285600,9.1930,9.3250,9.1666,9.3096,9410.22142533
1779289200,9.3142,9.3576,9.2639,9.3345,1733.24586598
1779292800,9.3397,9.3697,9.2726,9.3326,794.41803176
1779296400,9.3321,9.3935,9.3129,9.3393,16215.52827437
1779300000,9.3328,9.3472,9.2711,9.2876,509.48247555
1779303600,9.2865,9.3312,9.2740,9.3155,155.14224110
1779307200,9.3152,9.3325,9.2644,9.3045,181.60799999
1779310800,9.3025,9.3136,9.2668,9.2668,303.68313407
1779314400,9.2644,9.2834,9.2221,9.2751,425.73466316
1779318000,9.2702,9.3003,9.2489,9.2960,117.20955860
1779321600,9.2972,9.3622,9.2945,9.3527,658.93819929
1779325200,9.3541,9.3856,9.3339,9.3555,512.44563357
1779328800,9.3549,9.3880,9.3463,9.3651,240.62810721
1779332400,9.3595,9.3882,9.3531,9.3860,78.27438838
1779336000,9.3855,9.3990,9.3567,9.3896,133.03910707
1779339600,9.3884,9.3988,9.3056,9.3483,88.67475359
1779343200,9.3475,9.4102,9.3453,9.3891,6579.82350046
1779346800,9.3903,9.4838,9.3794,9.4748,523.42946019
1779350400,9.4760,9.5112,9.3882,9.4141,13273.91886725
1779354000,9.4128,9.4506,9.3810,9.3816,964.16064586
1779357600,9.3815,9.3875,9.2922,9.3254,2616.80211247
1779361200,9.3262,9.3429,9.2983,9.2983,120.28251699
1779364800,9.3001,9.3269,9.2700,9.3120,461.96892010
1779368400,9.3186,9.3450,9.2570,9.3298,1602.51332471
1779372000,9.3310,9.3745,9.2951,9.3188,854.41374937
