id,pair,direction,entry_price,stop_loss,tp1,tp2,close_price,pnl_percent,entry_time,close_time,status,ai_score,total_score,feat_adx,feat_rsi,feat_rsi_momentum,feat_ema_deviation,feat_atr_percent,feat_trend_line,feat_body_ratio
BTCUSDT_226,BTCUSDT,SHORT,57882.046875,59978.149888,55785.943862,52641.789342,59978.149888,-3.6213,226,2026-07-04T06:03:49.256019+00:00,SL_HIT,25.2,61.1,23.8907,34.0117,,,,,
BTCUSDT_250,BTCUSDT,LONG,60628.042969,59367.627623,61888.458315,63779.081334,59367.627623,-2.0789,250,2026-07-04T06:03:49.282648+00:00,SL_HIT,24.5,64.54,24.4733,61.4645,,,,,
BTCUSDT_340,BTCUSDT,SHORT,56647.535156,58219.41529,55075.655022,52717.834821,58219.41529,-2.7748,340,2026-07-04T06:03:49.415968+00:00,SL_HIT,25.2,61.46,22.5779,36.3667,,,,,
BTCUSDT_355,BTCUSDT,SHORT,54016.632812,55906.200893,52127.064732,49292.712612,55906.200893,-3.4981,355,2026-07-04T06:03:49.454143+00:00,SL_HIT,26.34,67.32,28.5657,31.9874,,,,,
BTCUSDT_357,BTCUSDT,SHORT,53949.085938,55861.609542,52036.562333,49167.776925,55861.609542,-3.5451,357,2026-07-04T06:03:49.454156+00:00,SL_HIT,26.34,70.53,34.9824,18.7927,,,,,
BTCUSDT_392,BTCUSDT,LONG,58387.027344,56796.379297,59977.675391,62363.647461,62363.647461,6.8108,392,2026-07-04T06:03:49.535841+00:00,TP_HIT,25.2,61.17,25.8189,58.0688,,,,,
BTCUSDT_397,BTCUSDT,LONG,59621.039062,58116.782478,61125.295647,63381.680525,58116.782478,-2.523,397,2026-07-04T06:03:49.514554+00:00,SL_HIT,25.0,60.25,15.4965,71.3352,,,,,
BTCUSDT_405,BTCUSDT,LONG,60000.726562,58863.220982,61138.232143,62844.490513,58863.220982,-1.8958,405,2026-07-04T06:03:49.506736+00:00,SL_HIT,25.62,66.76,34.198,70.9354,,,,,
BTCUSDT_454,BTCUSDT,LONG,64349.203125,63235.80971,65462.59654,67132.686663,63235.80971,-1.7302,454,2026-07-04T06:03:49.573226+00:00,SL_HIT,24.5,68.36,32.1131,70.697,,,,,
BTCUSDT_481,BTCUSDT,LONG,66046.867188,64755.695647,67338.038728,69274.796038,64755.695647,-1.9549,481,2026-07-04T06:03:49.622435+00:00,SL_HIT,25.0,64.39,23.7711,73.778,,,,,
BTCUSDT_483,BTCUSDT,LONG,65792.179688,64498.062556,67086.296819,69027.472517,64498.062556,-1.967,483,2026-07-04T06:03:49.622447+00:00,SL_HIT,25.0,63.66,31.0058,74.3165,,,,,
BTCUSDT_580,BTCUSDT,LONG,64236.484375,63137.429185,65335.539565,66984.122349,66984.122349,4.2774,580,2026-07-04T06:03:49.745891+00:00,TP_HIT,24.5,67.04,43.5005,62.5408,,,,,
BTCUSDT_581,BTCUSDT,LONG,64578.035156,63477.137277,65678.933036,67330.279855,67330.279855,4.2619,581,2026-07-04T06:03:49.745900+00:00,TP_HIT,25.11,70.05,46.4928,73.4669,,,,,
BTCUSDT_622,BTCUSDT,LONG,68893.242188,68230.871317,69555.613058,70549.169364,68230.871317,-0.9614,622,2026-07-04T06:03:49.793369+00:00,SL_HIT,26.87,62.88,43.8686,56.8493,,,,,
BTCUSDT_668,BTCUSDT,LONG,69480.671875,68499.1375,70462.20625,71934.507812,71934.507812,3.5317,668,2026-07-04T06:03:49.864261+00:00,TP_HIT,31.09,67.69,33.6036,77.7464,,,,,
BTCUSDT_669,BTCUSDT,LONG,69902.265625,68870.484933,70934.046317,72481.717355,72481.717355,3.6901,669,2026-07-04T06:03:49.865890+00:00,TP_HIT,32.28,69.66,38.9466,84.4948,,,,,
BTCUSDT_707,BTCUSDT,SHORT,68588.914062,69763.636049,67414.192076,65652.109096,69763.636049,-1.7127,707,2026-07-04T06:03:49.958821+00:00,SL_HIT,24.5,63.38,22.1549,37.587,,,,,
BTCUSDT_793,BTCUSDT,LONG,92421.390625,90102.871094,94739.910156,98217.689453,90102.871094,-2.5086,793,2026-07-04T06:03:50.073458+00:00,SL_HIT,25.62,61.78,18.0708,56.7911,,,,,
BTCUSDT_878,BTCUSDT,SHORT,95824.226562,97722.244196,93926.208929,91079.182478,97722.244196,-1.9807,878,2026-07-04T06:03:50.198626+00:00,SL_HIT,24.5,60.64,25.4721,47.0675,,,,,
BTCUSDT_954,BTCUSDT,LONG,102617.539062,100856.590625,104378.4875,107019.910156,107019.910156,4.2901,954,2026-07-04T06:03:50.294279+00:00,TP_HIT,25.62,68.2,34.1271,73.8413,,,,,
BTCUSDT_956,BTCUSDT,LONG,103219.859375,101435.219643,105004.499107,107681.458705,107681.458705,4.3224,956,2026-07-04T06:03:50.294287+00:00,TP_HIT,25.62,61.58,36.6368,73.5066,,,,,
BTCUSDT_961,BTCUSDT,LONG,106309.84375,104082.470312,108537.217188,111878.277344,104082.470312,-2.0952,961,2026-07-04T06:03:50.304658+00:00,SL_HIT,25.11,70.05,46.9444,77.0478,,,,,
BTCUSDT_1042,BTCUSDT,SHORT,93487.3125,94679.051116,92295.573884,90507.96596,94679.051116,-1.2748,1042,2026-07-04T06:03:50.416221+00:00,SL_HIT,28.08,62.5,32.9404,38.339,,,,,
BTCUSDT_1044,BTCUSDT,SHORT,93741.492188,94951.025893,92531.958482,90717.657924,94951.025893,-1.2903,1044,2026-07-04T06:03:50.422720+00:00,SL_HIT,27.06,60.22,30.8384,41.7146,,,,,
BTCUSDT_1045,BTCUSDT,SHORT,91911.453125,93410.339844,90412.566406,88164.236328,93410.339844,-1.6308,1045,2026-07-04T06:03:50.414562+00:00,SL_HIT,24.86,68.03,31.1761,30.1723,,,,,
BTCUSDT_1047,BTCUSDT,SHORT,92642.40625,94725.874107,90558.938393,87433.736607,94725.874107,-2.2489,1047,2026-07-04T06:03:50.422730+00:00,SL_HIT,25.62,64.83,30.6724,41.2219,,,,,
BTCUSDT_1049,BTCUSDT,SHORT,92738.179688,94812.882589,90663.476786,87551.422433,94812.882589,-2.2372,1049,2026-07-04T06:03:50.422738+00:00,SL_HIT,25.62,60.04,36.9554,36.0154,,,,,
BTCUSDT_1052,BTCUSDT,SHORT,93972.992188,96665.807254,91280.177121,87240.95452,96665.807254,-2.8655,1052,2026-07-04T06:03:50.441260+00:00,SL_HIT,25.2,64.75,35.9285,46.2728,,,,,
BTCUSDT_1053,BTCUSDT,SHORT,93425.101562,96078.852009,90771.351116,86790.725446,96078.852009,-2.8405,1053,2026-07-04T06:03:50.441270+00:00,SL_HIT,25.2,60.21,34.5117,45.893,,,,,
BTCUSDT_1062,BTCUSDT,LONG,96619.882812,94707.354688,98532.410937,101401.203125,101401.203125,4.9486,1062,2026-07-04T06:03:50.482995+00:00,TP_HIT,24.5,63.2,30.6499,74.4165,,,,,
BTCUSDT_1068,BTCUSDT,LONG,96720.28125,95179.104576,98261.457924,100573.222935,100573.222935,3.9836,1068,2026-07-04T06:03:50.483004+00:00,TP_HIT,25.58,61.32,50.4659,74.5301,,,,,
BTCUSDT_1085,BTCUSDT,LONG,99292.617188,98120.542969,100464.691406,102222.802734,102222.802734,2.9511,1085,2026-07-04T06:03:50.483011+00:00,TP_HIT,29.39,71.35,42.7451,65.6191,,,,,
BTCUSDT_1087,BTCUSDT,LONG,102174.226562,100541.150446,103807.302679,106256.916853,100541.150446,-1.5983,1087,2026-07-04T06:03:50.492108+00:00,SL_HIT,25.78,70.31,37.6392,79.5723,,,,,
BTCUSDT_1094,BTCUSDT,SHORT,96496.671875,98923.859375,94069.484375,90428.703125,90428.703125,6.2883,1094,2026-07-04T06:03:50.554183+00:00,TP_HIT,25.0,63.41,34.6834,44.9372,,,,,
BTCUSDT_1100,BTCUSDT,SHORT,94258.359375,97117.503683,91399.215067,87110.498605,97117.503683,-3.0333,1100,2026-07-04T06:03:50.560074+00:00,SL_HIT,25.7,62.94,35.2614,30.8494,,,,,
BTCUSDT_1102,BTCUSDT,SHORT,94026.609375,96693.997433,91359.221317,87358.13923,96693.997433,-2.8368,1102,2026-07-04T06:03:50.560084+00:00,SL_HIT,26.34,61.56,40.2917,15.8933,,,,,
BTCUSDT_1103,BTCUSDT,SHORT,93219.71875,95965.425893,90474.011607,86355.450893,95965.425893,-2.9454,1103,2026-07-04T06:03:50.560090+00:00,SL_HIT,26.34,64.45,42.626,11.9755,,,,,
BTCUSDT_1150,BTCUSDT,LONG,101007.398438,98607.105469,103407.691406,107008.130859,107008.130859,5.9409,1150,2026-07-04T06:03:50.607408+00:00,TP_HIT,25.62,63.97,39.1302,73.2541,,,,,
BTCUSDT_1151,BTCUSDT,LONG,101450.9375,99026.520312,103875.354688,107511.980469,107511.980469,5.9744,1151,2026-07-04T06:03:50.607419+00:00,TP_HIT,25.62,61.29,42.2596,74.2951,,,,,
BTCUSDT_1169,BTCUSDT,LONG,107023.789062,102928.770982,111118.807143,117261.334263,102928.770982,-3.8263,1169,2026-07-04T06:03:50.613131+00:00,SL_HIT,26.34,70.53,40.1023,58.1077,,,,,
BTCUSDT_1214,BTCUSDT,SHORT,99603.039062,102139.105469,97066.972656,93262.873047,102139.105469,-2.5462,1214,2026-07-04T06:03:50.669646+00:00,SL_HIT,24.86,66.75,38.8367,28.9251,,,,,
BTCUSDT_1250,BTCUSDT,SHORT,98197.554688,100641.793973,95753.315402,92086.956473,92086.956473,6.2228,1250,2026-07-04T06:03:50.723355+00:00,TP_HIT,24.86,66.53,41.713,17.2081,,,,,
BTCUSDT_1251,BTCUSDT,SHORT,97671.851562,100186.55904,95157.144085,91385.082868,100186.55904,-2.5746,1251,2026-07-04T06:03:50.729958+00:00,SL_HIT,26.34,67.83,44.5551,9.9173,,,,,
BTCUSDT_1322,BTCUSDT,LONG,97927.0,95697.505134,100156.494866,103500.737165,95697.505134,-2.2767,1322,2026-07-04T06:03:50.842547+00:00,SL_HIT,24.5,65.33,34.9022,62.6447,,,,,
BTCUSDT_1362,BTCUSDT,LONG,98658.140625,97207.042299,100109.238951,102285.88644,97207.042299,-1.4708,1362,2026-07-04T06:03:50.882022+00:00,SL_HIT,32.2,62.3,30.9744,79.214,,,,,
BTCUSDT_1381,BTCUSDT,SHORT,94246.828125,95448.722879,93044.933371,91242.091239,91242.091239,3.1882,1381,2026-07-04T06:03:50.912887+00:00,TP_HIT,25.68,70.27,41.5988,29.9643,,,,,
BTCUSDT_1382,BTCUSDT,SHORT,93894.867188,95218.177567,92571.556808,90586.591239,90586.591239,3.5234,1382,2026-07-04T06:03:50.914556+00:00,TP_HIT,28.7,66.68,44.2849,24.7625,,,,,
BTCUSDT_1459,BTCUSDT,SHORT,83052.210938,85462.387835,80642.03404,77026.768694,77026.768694,7.255,1459,2026-07-04T06:03:51.032644+00:00,TP_HIT,26.34,70.48,34.883,16.2682,,,,,
BTCUSDT_1460,BTCUSDT,SHORT,82561.703125,84950.838504,80172.567746,76588.864676,84950.838504,-2.8938,1460,2026-07-04T06:03:51.055832+00:00,SL_HIT,26.34,68.51,38.5752,8.2891,,,,,
BTCUSDT_1548,BTCUSDT,LONG,87699.476562,86651.667634,88747.285491,90318.998884,86651.667634,-1.1948,1548,2026-07-04T06:03:51.150515+00:00,SL_HIT,27.06,62.78,47.9748,86.5725,,,,,
BTCUSDT_1549,BTCUSDT,LONG,88324.601562,87110.643192,89538.559933,91359.497489,87110.643192,-1.3744,1549,2026-07-04T06:03:51.150525+00:00,SL_HIT,29.91,63.51,50.048,88.1221,,,,,
BTCUSDT_1629,BTCUSDT,SHORT,78221.335938,80215.962946,76226.708929,73234.768415,80215.962946,-2.55,1629,2026-07-04T06:03:51.264762+00:00,SL_HIT,24.86,61.65,25.4859,23.261,,,,,
BTCUSDT_1630,BTCUSDT,SHORT,77584.984375,79595.321205,75574.647545,72559.142299,79595.321205,-2.5911,1630,2026-07-04T06:03:51.264771+00:00,SL_HIT,26.34,68.07,30.0719,11.4326,,,,,
BTCUSDT_1631,BTCUSDT,SHORT,75091.953125,77422.869754,72761.036496,69264.661551,77422.869754,-3.1041,1631,2026-07-04T06:03:51.263075+00:00,SL_HIT,26.34,62.25,33.2347,8.8302,,,,,
BTCUSDT_1714,BTCUSDT,LONG,87203.054688,86123.428348,88282.681027,89902.120536,89902.120536,3.0952,1714,2026-07-04T06:03:51.380086+00:00,TP_HIT,30.26,65.4,21.5815,75.9074,,,,,
BTCUSDT_1717,BTCUSDT,LONG,88072.875,86731.747433,89414.002567,91425.693917,86731.747433,-1.5227,1717,2026-07-04T06:03:51.372580+00:00,SL_HIT,27.46,60.83,26.811,73.3027,,,,,
BTCUSDT_1720,BTCUSDT,LONG,88116.859375,86408.955692,89824.763058,92386.618583,92386.618583,4.8456,1720,2026-07-04T06:03:51.383337+00:00,TP_HIT,25.62,60.52,28.4905,70.3408,,,,,
BTCUSDT_1742,BTCUSDT,LONG,95300.015625,93263.363839,97336.667411,100391.645089,93263.363839,-2.1371,1742,2026-07-04T06:03:51.428438+00:00,SL_HIT,25.11,64.44,34.1324,63.889,,,,,
BTCUSDT_1776,BTCUSDT,LONG,96214.0,94593.201451,97834.798549,100265.996373,94593.201451,-1.6846,1776,2026-07-04T06:03:51.488562+00:00,SL_HIT,24.5,60.17,16.694,60.0339,,,,,
BTCUSDT_1783,BTCUSDT,LONG,97394.171875,95666.904129,99121.439621,101712.341239,95666.904129,-1.7735,1783,2026-07-04T06:03:51.480744+00:00,SL_HIT,25.62,60.34,24.2124,68.5148,,,,,
BTCUSDT_1885,BTCUSDT,LONG,104832.320312,102437.344978,107227.295647,110819.75865,110819.75865,5.7114,1885,2026-07-04T06:03:51.636332+00:00,TP_HIT,24.5,61.43,22.2098,55.4513,,,,,
BTCUSDT_1892,BTCUSDT,LONG,107051.085938,104042.995647,110059.176228,114571.311663,104042.995647,-2.81,1892,2026-07-04T06:03:51.711739+00:00,SL_HIT,25.7,65.71,44.2652,60.9801,,,,,
BTCUSDT_1945,BTCUSDT,SHORT,107053.929688,109073.720536,105034.138839,102004.452567,102004.452567,4.7168,1945,2026-07-04T06:03:51.763281+00:00,TP_HIT,24.5,68.3,32.0021,33.5919,,,,,
BTCUSDT_1949,BTCUSDT,SHORT,104966.640625,107105.697545,102827.583705,99618.998326,107105.697545,-2.0378,1949,2026-07-04T06:03:51.797867+00:00,SL_HIT,24.86,60.36,44.4052,26.0496,,,,,
BTCUSDT_2010,BTCUSDT,LONG,107774.460938,106626.633482,108922.288393,110644.029576,106626.633482,-1.065,2010,2026-07-04T06:03:51.829876+00:00,SL_HIT,29.82,71.93,42.6262,79.1295,,,,,
BTCUSDT_2011,BTCUSDT,LONG,107748.679688,106546.001451,108951.357924,110755.375279,106546.001451,-1.1162,2011,2026-07-04T06:03:51.829885+00:00,SL_HIT,28.68,61.26,45.175,78.9127,,,,,
BTCUSDT_2012,BTCUSDT,LONG,108602.9375,107329.635379,109876.239621,111786.192801,107329.635379,-1.1724,2012,2026-07-04T06:03:51.826493+00:00,SL_HIT,27.06,63.38,48.36,81.4632,,,,,
BTCUSDT_2078,BTCUSDT,SHORT,103485.445312,105377.432143,101593.458482,98755.478237,98755.478237,4.5707,2078,2026-07-04T06:03:51.930819+00:00,TP_HIT,24.5,63.58,40.3475,41.2253,,,,,
BTCUSDT_2081,BTCUSDT,SHORT,103471.648438,105053.116183,101890.180692,99517.979074,99517.979074,3.821,2081,2026-07-04T06:03:51.928426+00:00,TP_HIT,27.45,69.35,39.7572,39.0328,,,,,
BTCUSDT_2083,BTCUSDT,SHORT,103602.328125,105165.048549,102039.607701,99695.527065,99695.527065,3.771,2083,2026-07-04T06:03:51.928436+00:00,TP_HIT,28.75,60.43,35.3943,41.7327,,,,,
BTCUSDT_2084,BTCUSDT,SHORT,102276.648438,103964.270982,100589.025893,98057.592076,103964.270982,-1.6501,2084,2026-07-04T06:03:51.939229+00:00,SL_HIT,25.0,67.97,34.3744,33.4533,,,,,
BTCUSDT_2087,BTCUSDT,SHORT,102491.320312,104364.152009,100618.488616,97809.241071,104364.152009,-1.8273,2087,2026-07-04T06:03:51.939254+00:00,SL_HIT,25.11,61.38,32.5525,33.947,,,,,
BTCUSDT_2089,BTCUSDT,SHORT,99182.046875,101356.54933,97007.54442,93745.790737,101356.54933,-2.1924,2089,2026-07-04T06:03:51.934061+00:00,SL_HIT,24.86,69.95,38.5016,14.8635,,,,,
BTCUSDT_2112,BTCUSDT,LONG,107365.132812,105750.594085,108979.67154,111401.479632,105750.594085,-1.5038,2112,2026-07-04T06:03:52.013043+00:00,SL_HIT,27.28,61.55,57.3327,75.646,,,,,
BTCUSDT_2114,BTCUSDT,LONG,107669.476562,106097.777232,109241.175893,111598.724888,106097.777232,-1.4597,2114,2026-07-04T06:03:52.013053+00:00,SL_HIT,26.07,61.36,63.9428,75.157,,,,,
BTCUSDT_2116,BTCUSDT,LONG,107524.914062,105933.508147,109116.319978,111503.42885,105933.508147,-1.48,2116,2026-07-04T06:03:52.013061+00:00,SL_HIT,27.29,62.37,69.142,66.7225,,,,,
BTCUSDT_2130,BTCUSDT,LONG,108460.78125,107543.824888,109377.737612,110753.172154,107543.824888,-0.8454,2130,2026-07-04T06:03:51.993191+00:00,SL_HIT,26.78,60.14,22.1689,62.2069,,,,,
BTCUSDT_2133,BTCUSDT,LONG,108388.976562,107458.834598,109319.118527,110714.331473,107458.834598,-0.8582,2133,2026-07-04T06:03:52.002773+00:00,SL_HIT,26.78,61.47,25.9814,60.4292,,,,,
BTCUSDT_2134,BTCUSDT,LONG,108551.078125,107700.673549,109401.482701,110677.089565,107700.673549,-0.7834,2134,2026-07-04T06:03:51.999541+00:00,SL_HIT,24.69,64.34,29.9035,67.4442,,,,,
BTCUSDT_2143,BTCUSDT,SHORT,106043.78125,107492.282031,104595.280469,102422.529297,107492.282031,-1.3659,2143,2026-07-04T06:03:52.022748+00:00,SL_HIT,28.82,61.39,24.454,39.38,,,,,
BTCUSDT_2144,BTCUSDT,SHORT,105486.398438,106907.239286,104065.557589,101934.296317,106907.239286,-1.3469,2144,2026-07-04T06:03:52.021057+00:00,SL_HIT,30.01,67.16,25.3028,24.14,,,,,
BTCUSDT_2156,BTCUSDT,LONG,109820.351562,107959.805469,111680.897656,114471.716797,107959.805469,-1.6942,2156,2026-07-04T06:03:52.039225+00:00,SL_HIT,25.0,67.16,35.0537,69.0787,,,,,
BTCUSDT_2180,BTCUSDT,SHORT,108141.421875,109175.497768,107107.345982,105556.232143,109175.497768,-0.9562,2180,2026-07-04T06:03:52.082062+00:00,SL_HIT,27.7,64.9,46.2817,49.447,,,,,
BTCUSDT_2182,BTCUSDT,SHORT,107906.484375,109069.226116,106743.742634,104999.630022,109069.226116,-1.0775,2182,2026-07-04T06:03:52.082071+00:00,SL_HIT,28.32,67.28,39.1538,46.7272,,,,,
BTCUSDT_2192,BTCUSDT,LONG,111779.75,110131.733482,113427.766518,115899.791295,115899.791295,3.6859,2192,2026-07-04T06:03:52.104471+00:00,TP_HIT,33.19,64.23,16.8997,71.8509,,,,,
BTCUSDT_2196,BTCUSDT,LONG,111068.445312,109474.811496,112662.079129,115052.529855,115052.529855,3.5871,2196,2026-07-04T06:03:52.104483+00:00,TP_HIT,32.2,63.62,32.6497,72.623,,,,,
BTCUSDT_2199,BTCUSDT,LONG,115986.234375,113879.179688,118093.289062,121253.871094,121253.871094,4.5416,2199,2026-07-04T06:03:52.134214+00:00,TP_HIT,25.11,69.16,46.7028,86.5618,,,,,
BTCUSDT_2215,BTCUSDT,LONG,118731.765625,117320.075446,120143.455804,122260.991071,122260.991071,2.9724,2215,2026-07-04T06:03:52.134225+00:00,TP_HIT,27.29,60.26,60.3698,59.8473,,,,,
BTCUSDT_2216,BTCUSDT,LONG,119088.789062,117717.159933,120460.418192,122517.861886,122517.861886,2.8794,2216,2026-07-04T06:03:52.134246+00:00,TP_HIT,26.77,61.19,54.4858,60.3324,,,,,
BTCUSDT_2217,BTCUSDT,LONG,119115.789062,117797.879687,120433.698438,122410.5625,122410.5625,2.766,2217,2026-07-04T06:03:52.134252+00:00,TP_HIT,25.72,70.29,51.1717,72.6543,,,,,
BTCUSDT_2219,BTCUSDT,LONG,122776.273438,121155.887723,124396.659152,126827.237723,121155.887723,-1.3198,2219,2026-07-04T06:03:52.138356+00:00,SL_HIT,25.72,70.29,49.8055,88.3389,,,,,
BTCUSDT_2301,BTCUSDT,LONG,119457.523438,118280.668973,120634.377902,122399.659598,118280.668973,-0.9852,2301,2026-07-04T06:03:52.249016+00:00,SL_HIT,28.7,70.87,33.7879,85.4586,,,,,
BTCUSDT_2330,BTCUSDT,SHORT,113271.96875,115661.264844,110882.672656,107298.728516,115661.264844,-2.1093,2330,2026-07-04T06:03:52.320076+00:00,SL_HIT,24.86,65.32,40.3797,26.5987,,,,,
BTCUSDT_2343,BTCUSDT,SHORT,114223.921875,115943.893192,112503.950558,109923.993583,115943.893192,-1.5058,2343,2026-07-04T06:03:52.346637+00:00,SL_HIT,26.66,62.31,51.0799,41.3146,,,,,
BTCUSDT_2364,BTCUSDT,LONG,116559.320312,114731.797991,118386.842634,121128.126116,121128.126116,3.9197,2364,2026-07-04T06:03:52.383228+00:00,TP_HIT,26.27,62.99,19.9672,61.7202,,,,,
BTCUSDT_2367,BTCUSDT,LONG,117505.5,115788.336161,119222.663839,121798.409598,121798.409598,3.6534,2367,2026-07-04T06:03:52.383251+00:00,TP_HIT,33.19,66.83,22.1078,80.4948,,,,,
BTCUSDT_2370,BTCUSDT,LONG,116929.664062,115265.635379,118593.692746,121089.73577,121089.73577,3.5578,2370,2026-07-04T06:03:52.383256+00:00,TP_HIT,31.41,67.18,31.5253,75.3645,,,,,
BTCUSDT_2372,BTCUSDT,LONG,116437.53125,114702.465848,118172.596652,120775.194754,120775.194754,3.7253,2372,2026-07-04T06:03:52.383260+00:00,TP_HIT,29.4,62.79,35.8013,66.1289,,,,,
BTCUSDT_2376,BTCUSDT,LONG,117119.117188,115500.47221,118737.762165,121165.729632,121165.729632,3.4551,2376,2026-07-04T06:03:52.383265+00:00,TP_HIT,29.99,69.09,39.9122,71.4081,,,,,
